episode,global_steps,return,length,elapsed_sec
489,15627,4.553375819413232,43,8340.86
490,15649,4.16483469551111,22,8353.37
491,15670,4.17867655046653,21,8364.34
492,15770,0.7060935341716396,100,8433.38
493,15785,3.2938102314079316,15,8440.27
494,15816,3.313618838797747,31,8455.86
495,15829,3.3725672347301217,13,8463.0
496,15849,3.9468684297501597,20,8472.24
497,15949,0.9560472915915657,100,8520.72
498,15968,4.810990573798362,19,8532.45
499,15985,3.501274701656234,17,8541.4
500,16008,4.679173757673133,23,8554.11
501,16032,3.2794392971095445,24,8564.59
502,16067,4.10010005487844,35,8592.01
503,16102,4.077616340397797,35,8612.87
504,16119,3.527273710217728,17,8621.37
505,16141,4.6725448805391085,22,8634.83
506,16164,4.090653390202814,23,8652.42
507,16197,4.392322436140695,33,8672.41
508,16297,0.971661327170363,100,8725.69
509,16318,4.172843135108776,21,8737.1
510,16340,3.2370899018292842,22,8747.15
511,16356,3.2672104536025404,16,8755.39
512,16406,4.432781651041045,50,8775.92
513,16418,3.419273607877507,12,8781.39
514,16440,4.15821561386011,22,8795.36
515,16474,4.507104417092927,34,8817.28
516,16505,4.69566313226042,31,8834.13
517,16546,3.051093436865815,41,8855.72
518,16560,3.3403585517662453,14,8861.44
519,16584,3.7290620374356327,24,8873.23
520,16614,3.826302674351698,30,8891.64
521,16636,3.8800489300482437,22,8904.32
522,16661,2.9453199566703447,25,8916.08
523,16706,4.518864855884361,45,8937.46
524,16725,4.27055610106529,19,8948.41
525,16750,3.7857584838059957,25,8960.04
526,16776,3.7481136072418124,26,8972.02
527,16808,4.529689766903712,32,8990.74
528,16825,3.5514110473198026,17,8998.69
529,16842,3.5040003197968357,17,9006.8
530,16872,4.41479730771157,30,9024.93
531,16896,4.079307606855054,24,9039.02
532,16925,3.5613866765197812,29,9057.55
533,16947,3.6054147958803435,22,9067.24
534,16966,3.173922630460146,19,9075.28
535,17066,-6.759201266796913,100,9124.33
536,17108,4.511248688367878,42,9143.07
537,17130,3.76744106141461,22,9154.62
538,17173,4.483225613080038,43,9173.62
539,17191,3.3647209897010075,18,9181.57
540,17219,4.331386569327652,28,9199.19
541,17246,4.3956441939490825,27,9214.81
542,17262,3.415280167240487,16,9221.82
543,17298,3.082769602952934,36,9248.9
544,17313,3.1859228935315946,15,9255.57
545,17339,3.399375601731849,26,9269.63
546,17361,4.547156612839888,22,9281.75
547,17390,4.29520509616704,29,9296.37
548,17404,3.5130564245306397,14,9303.04
549,17425,4.067982134211845,21,9315.46
550,17458,3.7955617252115363,33,9333.57
551,17490,4.208390929221111,32,9357.35
552,17512,3.741504656575564,22,9371.4
553,17527,3.478029045671591,15,9378.78
554,17546,3.8301490896105523,19,9390.08
555,17646,1.9194283926470528,100,9421.0
556,17746,-3.481169409834719,100,9453.86
557,17767,3.7156129336735546,21,9465.65
558,17822,3.9303466997251926,55,9484.29
559,17838,3.404352570069816,16,9491.68
560,17864,3.8440852583773975,26,9506.41
561,17882,3.382227017900889,18,9515.38
562,17910,4.288667667339183,28,9530.44
563,17926,3.8991758496986484,16,9539.57
564,18026,2.269680734058802,100,9571.53
565,18041,3.448993707086252,15,9579.37
566,18060,4.086826674504177,19,9589.49
567,18106,3.3405821234656345,46,9607.24
568,18130,3.1220031063217943,24,9618.44
569,18150,3.2930741424395378,20,9628.83
570,18183,3.335274922644692,33,9648.16
571,18207,3.934366190530415,24,9661.92
572,18227,3.006124856376265,20,9670.86
573,18320,3.3119742871867555,93,9726.42
574,18342,4.509894704868914,22,9739.97
575,18371,3.8275844701547603,29,9755.82
576,18390,4.076407053057238,19,9767.03
577,18413,3.730982842101278,23,9777.92
578,18442,4.2748268067067166,29,9795.8
579,18505,3.9248148975575834,63,9819.55
580,18529,3.672829022362758,24,9831.42
581,18553,3.9177654941259847,24,9843.11
582,18571,4.138842673642232,18,9853.32
583,18589,3.061045858602461,18,9862.95
584,18614,3.7976213007650603,25,9875.72
585,18696,4.49163415996988,82,9906.02
586,18720,3.0580226030851656,24,9918.04
587,18736,3.941874425060867,16,9926.94
588,18758,2.911250223803507,22,9935.51
589,18793,3.2203769355473595,35,9950.89
590,18865,4.078150897006209,72,9989.11
591,18965,1.3485136041822563,100,10015.06
592,19001,4.044085561029195,36,10047.49
593,19015,3.2373186829694376,14,10054.01
594,19038,3.9619321632131124,23,10069.55
595,19066,3.7774397339370966,28,10086.48
596,19166,-3.9094150584886367,100,10236.92
597,19182,3.11453831525259,16,10244.03
598,19202,3.2106787324990744,20,10253.93
599,19223,3.688257572083665,21,10263.38
600,19278,2.8757629796625874,55,10288.92
601,19295,3.345059791117133,17,10297.46
602,19312,3.059451766862786,17,10304.05
603,19330,3.8008826854811426,18,10313.67
